airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,21,64890
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,22,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,22,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,22,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,22,58315
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,23,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,23,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,23,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,23,58315
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,24,45883
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,24,52570
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,24,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,24,58315
Air_India,AI-515,Hyderabad,Morning,one,Morning,Mumbai,Business,23,25,32420
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,25,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,25,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,25,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,25,58315
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,26,45995
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,26,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,26,58315
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,27,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,27,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,27,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,27,58315
Air_India,AI-515,Hyderabad,Morning,one,Morning,Mumbai,Business,23,28,32420
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,28,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,28,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,28,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,28,58315
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,29,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,29,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,29,67130
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,29,72730
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,30,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,30,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,30,59290
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,30,64890
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,31,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,31,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,31,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,31,58315
Air_India,AI-515,Hyderabad,Morning,one,Morning,Mumbai,Business,23,32,32420
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,32,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,32,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,32,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,32,58315
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,33,45995
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,33,59290
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,33,64890
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,34,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,34,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,34,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,34,58315
Air_India,AI-515,Hyderabad,Morning,one,Morning,Mumbai,Business,23,35,32420
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,35,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,35,52715
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,35,53947
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,35,58315
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,36,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,36,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,36,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,36,58315
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,37,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,37,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,37,59290
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,37,64890
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,38,45883
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,38,52570
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,38,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,38,58315
Air_India,AI-515,Hyderabad,Morning,one,Morning,Mumbai,Business,23,39,32420
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,39,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,39,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,39,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,39,58315
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,40,45995
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,40,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,40,66267
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,41,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,41,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,41,52715
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,41,58315
Air_India,AI-515,Hyderabad,Morning,one,Morning,Mumbai,Business,23,42,32420
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,42,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,42,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,42,59290
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,42,64890
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,43,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,43,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,43,59290
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,43,64890
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16,44,45995
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,44,45883
Vistara,UK-870,Hyderabad,Night,one,Morning,Mumbai,Business,15,44,59290
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16,44,64890
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,15,45,66155
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,15,46,66155
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,15,47,66155
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,15,48,66155
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,15,49,66155
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,2,64397
Vistara,UK-860,Hyderabad,Early_Morning,one,Morning,Bangalore,Business,28,2,64397
Vistara,UK-860,Hyderabad,Early_Morning,one,Morning,Bangalore,Business,28,3,63277
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,3,81169
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,4,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,4,78554
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,6,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,6,56702
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,7,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,7,74594
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,8,64139
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,8,71117
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,9,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,9,74594
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,10,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,10,63277
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,11,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,11,56702
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,12,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,12,56702
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,13,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,13,56702
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,14,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,14,74594
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,15,56702
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Business,15,15,56702
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,12,16,56702
